Gene_Symbol,Functional_Pathway,Human_Log2FC,Animal_Log2FC,Human_pValue,Animal_pValue
TRIF,Antiviral Defense,3.9,3.5900000000000003,0.0010608837559322494,0.0025953059731663114
TRAF3,Antiviral Defense,3.15,4.21,0.0007017917926379128,0.003080467707924755
TRAF6,Antiviral Defense,3.17,3.8600000000000003,0.009421063380520792,0.0025348803000250805
IRF5,Antiviral Defense,3.48,4.12,0.010611891027383519,0.0011516446859757155
IKBKE,Antiviral Defense,3.6999999999999997,3.68,0.0054569947184386295,0.004345285409197411
TBK1,Antiviral Defense,3.94,3.99,0.0015898635799062749,0.0014887321050987888
NFKB1,Antiviral Defense,4.46,3.8800000000000003,0.0008083319450075187,0.0005738494432420659
RELA,Antiviral Defense,4.1899999999999995,4.48,0.003958252289295985,0.0036109063588858218
IRF1,Antiviral Defense,3.73,4.0600000000000005,0.0022402725277561953,0.001084800710674468
IL6,Cytokine Signaling,5.390000000000001,0.3,0.000890456701863346,0.00896324944181991
TNF,Cytokine Signaling,4.95,-0.04000000000000001,0.0025506416844024503,0.00973268723836407
IL1B,Cytokine Signaling,5.390000000000001,-0.07,0.0006049811643304373,0.007890529653901525
CXCL10,Cytokine Signaling,5.2700000000000005,-0.04000000000000001,0.007701268662179071,0.0018868621894921002
CCL2,Cytokine Signaling,5.550000000000001,0.32999999999999996,0.0013983733305220581,0.0005467319461158332
IL12A,Cytokine Signaling,5.03,-0.04000000000000001,0.003758767395694941,0.008406570371995669
IL12B,Cytokine Signaling,5.630000000000001,0.28,0.001620639744972871,0.002176814831159184
IL1A,Cytokine Signaling,6.09,1.08,0.002702332687727686,0.010702526048366169
IL18,Cytokine Signaling,5.3500000000000005,0.54,0.0028736713939453928,0.010441206428390616
IL23A,Cytokine Signaling,5.58,0.0,0.0011131657985237174,0.006252161051538257
CXCL9,Cytokine Signaling,5.71,0.6900000000000001,0.01097842139820868,0.0015463282045164808
CXCL11,Cytokine Signaling,5.220000000000001,-0.03,0.004976736131414422,0.001958875796296081
CCL3,Cytokine Signaling,5.5,-0.77,0.008915283257874747,0.00621417995743424
CCL4,Cytokine Signaling,5.41,-0.30000000000000004,0.007256455992602591,0.0016434386942921512
CCL5,Cytokine Signaling,5.44,-0.69,0.0032331632371498252,0.0010571558488872645
CXCR3,Cytokine Signaling,5.050000000000001,-0.010000000000000009,0.008148306137808215,0.0029412109761806833
CCR2,Cytokine Signaling,5.41,0.16,0.0007779663768593468,0.008753880412421125
CCR5,Cytokine Signaling,5.62,0.9,0.0011544040838938024,0.0040724767932738114
IL2,Cytokine Signaling,6.050000000000001,0.3,0.0006388458970604958,0.0030323370093069666
IL7,Cytokine Signaling,5.83,0.04999999999999999,0.0016805962604092605,0.0008066845920479686
IL15,Cytokine Signaling,6.37,0.52,0.001976390875382656,0.003363592146553153
CSF2,Cytokine Signaling,5.050000000000001,-0.85,0.0014496813296264771,0.014331709243538953
CSF3,Cytokine Signaling,5.79,0.26,0.005793673595722802,0.0009527617599267925
IFNG,Cytokine Signaling,5.48,0.5,0.0018236809985896106,0.0026914859749445114
LTA,Cytokine Signaling,6.390000000000001,-0.52,0.0014894085204027476,0.006795825913702383
LTB,Cytokine Signaling,5.04,0.66,0.002847221249623238,0.00455010274506101
IL17A,Cytokine Signaling,5.0200000000000005,0.3,0.0009556944434618866,0.004082223275905019
IL17F,Cytokine Signaling,5.130000000000001,-0.04000000000000001,0.005361450787324194,0.00413686266867347
IL22,Cytokine Signaling,4.44,0.43000000000000005,0.0007324276064339271,0.0018364770269448474
IL33,Cytokine Signaling,5.16,1.17,0.01350243901876196,0.0015426862528012855
TSLP,Cytokine Signaling,5.0600000000000005,0.22999999999999998,0.004938451328724534,0.005472123521779138
IL9,Cytokine Signaling,5.470000000000001,0.26,0.0011646183215176578,0.005483984597261087
CCL17,Cytokine Signaling,5.550000000000001,-0.06,0.0005166122611278064,0.006553850142103745
CCL22,Cytokine Signaling,6.24,-0.23,0.005569690332458379,0.00783384788550991
CXCL1,Cytokine Signaling,5.83,0.52,0.0041812877221611335,0.002648279710798711
CXCL2,Cytokine Signaling,5.140000000000001,-0.24000000000000002,0.004416988726363997,0.0025885531326535977
CXCL5,Cytokine Signaling,5.0,0.18,0.00492564357813054,0.005302849796925463
CXCL8,Cytokine Signaling,5.62,-0.06,0.000730787796541389,0.003649157224663401
CCL20,Cytokine Signaling,4.8100000000000005,0.37,0.0018316780172486975,0.004131651945534551
CCL11,Cytokine Signaling,6.220000000000001,0.3,0.0008694503138133489,0.005265858424862614
IL10,Immune Regulation,0.93,4.569999999999999,0.0064655887149746676,0.007121970429040302
TGFB1,Immune Regulation,0.19000000000000003,3.8699999999999997,0.0034289035751371225,0.0017374472214129627
TGFB2,Immune Regulation,-0.37,3.9799999999999995,0.001705456403753903,0.001912810366182669
TGFB3,Immune Regulation,1.01,3.6599999999999997,0.0006970041974143487,0.0007960881175620817
IL1RN,Immune Regulation,0.35000000000000003,3.8999999999999995,0.0016174650512310613,0.003090242079828304
IL18BP,Immune Regulation,0.9600000000000001,4.27,0.0016799426395523941,0.000609812312632571
SOCS1,Immune Regulation,-0.31999999999999995,4.4399999999999995,0.004423627351873223,0.002379820844546329
SOCS3,Immune Regulation,0.13,3.6899999999999995,0.00354466807677806,0.002846883757061378
PIAS1,Immune Regulation,0.4,4.489999999999999,0.007046755737204544,0.0015128919809435674
PIAS3,Immune Regulation,0.42000000000000004,4.71,0.0024171984001289297,0.003180897590438526
FOXP3,Immune Regulation,0.2,4.29,0.0008821171808465057,0.0005929251863044236
CTLA4,Immune Regulation,0.68,4.9399999999999995,0.004247379032949798,0.0006141904978483681
PDCD1,Immune Regulation,-0.07999999999999996,3.7499999999999996,0.004791178259230592,0.005688054108614409
CD274,Immune Regulation,0.34,3.5399999999999996,0.0029716624846574864,0.0018397550726232342
PDCD1LG2,Immune Regulation,0.45,3.3,0.004921669900164094,0.000907667123892284
LAG3,Immune Regulation,0.63,4.77,0.0025424441945308338,0.002715960764837047
HAVCR2,Immune Regulation,0.72,4.39,0.0027190365163318013,0.0049089438213372055
BTLA,Immune Regulation,-0.10999999999999999,4.069999999999999,0.002173442581725282,0.0012293540102897103
TIGIT,Immune Regulation,-0.2899999999999999,4.2299999999999995,0.0005772433219703412,0.0034256588559694787
CD160,Immune Regulation,0.97,3.59,0.0008425023055755976,0.0007676330869696919
IL10RA,Immune Regulation,0.55,5.199999999999999,0.0005958010438791615,0.0006591952877309283
IL10RB,Immune Regulation,0.06,4.159999999999999,0.0035351886527826486,0.0027737268218765627
TGFBR1,Immune Regulation,1.1,4.1499999999999995,0.0016321901263852995,0.002833731328084227
TGFBR2,Immune Regulation,0.45,4.43,0.0026313115314025703,0.0035436123446138477
SMAD2,Immune Regulation,0.93,4.319999999999999,0.007643796589537927,0.004384881688750053
SMAD3,Immune Regulation,0.43000000000000005,4.199999999999999,0.001360216468949895,0.011670671026099979
SMAD4,Immune Regulation,1.33,3.7399999999999998,0.002084845924648018,0.002678873357691069
SMAD7,Immune Regulation,1.19,4.31,0.004726247442615751,0.0016700591423179365
A20,Immune Regulation,0.29000000000000004,4.949999999999999,0.0012794154707521821,0.005256961939198059
CYLD,Immune Regulation,0.8400000000000001,4.71,0.0007403128356505292,0.0014475543963084119
TNFAIP3,Immune Regulation,0.69,4.819999999999999,0.0015264209116611712,0.002233950293819904
NFKBIA,Immune Regulation,1.02,3.8699999999999997,0.0010274250755001886,0.0007451155057510097
IKBKB,Immune Regulation,-0.02999999999999997,3.6499999999999995,0.008464850257641874,0.0005770328286244231
CHUK,Immune Regulation,0.71,4.04,0.005452661241453709,0.010362139769805807
MAPK14,Immune Regulation,0.88,4.13,0.0035104825715615933,0.005923302926345188
MAPK8,Immune Regulation,-0.39,4.59,0.006654559191562439,0.004071928198398024
MAPK1,Immune Regulation,-0.13,3.34,0.00538390682222167,0.0020775789333954257
MAPK3,Immune Regulation,-0.52,4.789999999999999,0.0011194864290759172,0.0010709196084263263
JUN,Immune Regulation,0.28,4.029999999999999,0.007192440215706683,0.0010103622247185624
FOS,Immune Regulation,0.72,3.9099999999999997,0.0028252997058985157,0.0013640179673797509
CASP3,Apoptosis (Cell Death),2.8800000000000003,-0.26,0.005442044873910699,0.0028903719449399437
BAX,Apoptosis (Cell Death),2.23,-0.54,0.007292727947858695,0.0042615478633303274
BCL2,Apoptosis (Cell Death),2.93,0.5700000000000001,0.0016481921492549553,0.0037381710490903956
FAS,Apoptosis (Cell Death),1.58,0.23,0.0008497764803715524,0.0014852367841669879
CASP8,Apoptosis (Cell Death),1.4300000000000002,-0.37999999999999995,0.001276060238418144,0.00979431049566892
CASP9,Apoptosis (Cell Death),2.18,-0.37999999999999995,0.002171173078245843,0.004517052214625679
CASP7,Apoptosis (Cell Death),2.37,0.05000000000000002,0.005611489179916836,0.002924691445793994
BID,Apoptosis (Cell Death),2.1900000000000004,0.95,0.006414034915639501,0.0033380914161123053
BIM,Apoptosis (Cell Death),1.27,0.08000000000000002,0.0005209292275449519,0.002132113596596154
BAD,Apoptosis (Cell Death),2.16,-0.48000000000000004,0.0026446284780156674,0.0013539838768221904
PUMA,Apoptosis (Cell Death),1.6100000000000003,0.09000000000000001,0.002120819962756014,0.0018200423879693372
NOXA,Apoptosis (Cell Death),2.5,0.08000000000000002,0.0012535020148274735,0.00475454554327014
MCL1,Apoptosis (Cell Death),2.3600000000000003,-1.01,0.0008830411746369404,0.0005434942391624128
BCL2L1,Apoptosis (Cell Death),1.7800000000000002,0.18000000000000002,0.0017357257395872975,0.0008701411767199281
XIAP,Apoptosis (Cell Death),1.9700000000000002,0.1,0.00908936336807345,0.0006412831308575616
DIABLO,Apoptosis (Cell Death),1.7200000000000002,0.51,0.0016711514086444233,0.0006247443557518773
HTRA2,Apoptosis (Cell Death),2.1700000000000004,1.03,0.002694358417280456,0.0063026091008469756
CYCS,Apoptosis (Cell Death),2.6300000000000003,0.71,0.004142260930642565,0.004148721835102065
FADD,Apoptosis (Cell Death),1.7600000000000002,0.08000000000000002,0.0018559234969008872,0.0024283537832386773
TRADD,Apoptosis (Cell Death),2.43,-0.3,0.0112033944148751,0.0008088707553434398
TRAIL,Apoptosis (Cell Death),1.9600000000000002,1.3599999999999999,0.010346029593624195,0.0025295538973917
TNFSF10,Apoptosis (Cell Death),1.8400000000000003,0.23,0.001370183884976616,0.0024243509962831138
TNFRSF10A,Apoptosis (Cell Death),2.1500000000000004,0.21000000000000002,0.0025629778353915417,0.001070584138400675
TNFRSF10B,Apoptosis (Cell Death),1.7300000000000002,0.19,0.0015737913802371403,0.002206697393906972
TNFRSF1A,Apoptosis (Cell Death),1.9500000000000002,0.29000000000000004,0.0015057490291432451,0.002025009843749621
TNFRSF1B,Apoptosis (Cell Death),1.6600000000000001,0.14,0.0006127534332965676,0.0033701672987394037
RIPK1,Apoptosis (Cell Death),3.08,-0.06,0.0033214762129477795,0.0035243436081227363
RIPK3,Apoptosis (Cell Death),2.22,-0.04999999999999999,0.0025955588984889156,0.0006390869720616043
MLKL,Apoptosis (Cell Death),1.8900000000000001,0.19,0.0006585532621411775,0.0019081520139651847
CASP1,Apoptosis (Cell Death),2.3000000000000003,-0.03999999999999998,0.001479877763031108,0.0034493749843481857
CD4,Apoptosis (Cell Death),2.1500000000000004,-0.12,0.007666582853268022,0.002598318357823369
CD8A,Apoptosis (Cell Death),2.1,0.25,0.0013215816564262311,0.0063240483595263155
CD8B,Apoptosis (Cell Death),2.4800000000000004,0.09000000000000001,0.0009695925829564093,0.0037249242921649937
CD3E,Apoptosis (Cell Death),2.54,0.8800000000000001,0.002516816328420909,0.001033558606301922
CD3D,Apoptosis (Cell Death),1.9600000000000002,-0.99,0.01323211094784578,0.0007195473087687225
CD3G,Apoptosis (Cell Death),1.9400000000000002,0.69,0.0013314344406791787,0.0035851824413266732
CD247,Apoptosis (Cell Death),2.08,0.76,0.0038454650308918804,0.0005806072180021833
CD28,Apoptosis (Cell Death),1.1600000000000001,-0.73,0.004801662878718388,0.003144042133421872
CD80,Apoptosis (Cell Death),1.52,0.05000000000000002,0.0013139995170074175,0.008951766366161457
CD86,Apoptosis (Cell Death),2.8200000000000003,0.03,0.0044082467854769485,0.0030703473367326333
ICOS,Metabolic Reset,0.79,-0.59,0.001875568397792912,0.0019739020766717215
ICOSLG,Metabolic Reset,-0.06,-0.31,0.003501511243195314,0.003592481473534946
TNFRSF4,Metabolic Reset,0.31,-0.46,0.0035115134814129147,0.0023388679221532736
TNFSF4,Metabolic Reset,0.19,0.8300000000000001,0.0028021557498570464,0.0028664430817289606
TNFRSF9,Metabolic Reset,1.44,0.45999999999999996,0.000783887476434863,0.009014381438698997
TNFSF9,Metabolic Reset,0.55,0.61,0.0059109343827388906,0.0019637825820505612
CD40,Metabolic Reset,-0.009999999999999995,0.36,0.0016604308810021899,0.010247275584520262
CD40LG,Metabolic Reset,-0.38,-0.47000000000000003,0.0011192963198226697,0.007572728551309757
CD44,Metabolic Reset,-0.6699999999999999,-0.19999999999999998,0.0006248892793830356,0.00115368878282135
CD69,Metabolic Reset,0.14,0.26,0.0031813352137837507,0.000715652465909471
CD25,Metabolic Reset,-0.29000000000000004,-0.51,0.08532693085526848,0.06802334004132281
CD122,Metabolic Reset,-0.59,0.36,0.06549763486783569,0.06554665476954649
CD132,Metabolic Reset,-0.24,-0.07,0.08036279174897842,0.06783328882267785
NCAM1,Metabolic Reset,-0.44,-0.13,0.07179487325593814,0.0854902032024907
NCR1,Metabolic Reset,0.81,0.36,0.0843551837122835,0.06713565945380687
NCR3,Metabolic Reset,0.45,0.24000000000000002,0.07023099287014975,0.07456926890881284
FCGR3A,Metabolic Reset,0.05,-0.12,0.08572813214307398,0.09034625932908363
CD14,Metabolic Reset,0.7200000000000001,0.56,0.07660206038901612,0.06569815807207478
LY96,Metabolic Reset,0.08,-0.45,0.09310189966210204,0.08943405447766807
CD163,Metabolic Reset,-0.34,0.32,0.0691256283243798,0.073455643243202
GAPDH,Metabolic Reset,0.74,0.31,0.07523199053150775,0.06854494482864969
ACTB,Metabolic Reset,0.29,-0.1,0.06840420563721768,0.08590211496092452
LDHA,Metabolic Reset,-0.42,0.19,0.09274080854835688,0.08386828540339653
PGK1,Metabolic Reset,-0.039999999999999994,-0.52,0.09132018060142943,0.0913241604058116
B2M,Metabolic Reset,-0.34,0.45999999999999996,0.07273824883145467,0.08705213131411657
RPL13A,Metabolic Reset,-0.57,-0.04,0.08479952138102537,0.08910442791154546
PPIA,Metabolic Reset,0.47,-0.19999999999999998,0.08951666600603647,0.0734610371771392
HPRT1,Metabolic Reset,0.91,0.51,0.08165602434798387,0.07032318631339168
TBP,Metabolic Reset,-0.58,-0.28,0.0808895173506802,0.08751844254922575
TUBB,Metabolic Reset,0.3,-0.59,0.07225556872701355,0.08920504217801792
TUBA1A,Metabolic Reset,-0.24,-0.6599999999999999,0.06779308303417698,0.0947151542600202
G6PD,Metabolic Reset,-0.16999999999999998,0.31,0.0919164727385998,0.07737853030734279
PKM,Metabolic Reset,-0.22000000000000003,-0.5399999999999999,0.09201254171489992,0.07616054257378349
ENO1,Metabolic Reset,-0.34,0.8300000000000001,0.08399304371819805,0.0882923888222599
ALDOA,Metabolic Reset,0.07,-0.8999999999999999,0.07517089373146102,0.07522410620759054
TPI1,Metabolic Reset,-0.32,0.8,0.07547628723837983,0.09292271976810694
GAPDHS,Metabolic Reset,0.16999999999999998,0.13,0.08677867036610717,0.09075238255529036
PGAM1,Metabolic Reset,0.030000000000000002,0.0,0.09191330779857732,0.07786982082125055
SDHA,Metabolic Reset,-0.06,-0.21,0.09161259272795352,0.08752613203374493
SDHB,Metabolic Reset,-0.36,0.22,0.08839626637572871,0.08763628622254047
